game_id,card_id,card_color,theme,points,label_fr,label_en,label_es


olm,olm_G001a,none,olemots,0,"Hurler en chuchotant !","Shout while whispering!","Gritar susurrando"
olm,olm_G001b,none,olemimes,0,"En chantant l’alphabet","Sing the alphabet","Cantando el alfabeto"
olm,olm_G001c,none,olesons,0,"Imiter l’équipe adverse par la main","Imitate the opposing team using only your hand","Imitar al equipo contrario solo con la mano"
olm,olm_G002a,none,olemots,0,"Parler avec la langue tirée","Speak with your tongue out","Hablar con la lengua fuera"
olm,olm_G002b,none,olemimes,0,"Montrer chaque mot en faisant le chien","Show each word by acting like a dog","Mostrar cada palabra actuando como un perro"
olm,olm_G002c,none,olesons,0,"Sportif : en faisant du gainage","Sporty: hold a plank","Deportivo: mantener la plancha"
olm,olm_G003a,none,olemots,0,"En chantant sur un air de ton choix","Sing to any tune you like","Cantando con la melodía que quieras"
olm,olm_G003b,none,olemimes,0,"Mimer en ayant les genoux collés entre eux","Mime with knees stuck together","Hacer mímica con las rodillas juntas"
olm,olm_G003c,none,olesons,0,"En dansant la macarena","Dance the Macarena","Bailando la Macarena"
olm,olm_G004a,none,olemots,0,"Pas le droit de passer","You are not allowed to pass","No está permitido pasar"
olm,olm_G004b,none,olemimes,0,"Pas le droit de passer","You are not allowed to pass","No está permitido pasar"
olm,olm_G004c,none,olesons,0,"Pas le droit de passer","You are not allowed to pass","No está permitido pasar"
olm,olm_G005a,none,olemots,0,"Sportif : en faisant des pompes (ou des abdos acceptés)","Sporty: do push-ups (or sit-ups allowed)","Deportivo: hacer flexiones (o abdominales)"
olm,olm_G005b,none,olemimes,0,"Tu peux donner la première lettre","You may give the first letter","Puedes dar la primera letra"
olm,olm_G005c,none,olesons,0,"Top chrono : 15 secondes de moins","Countdown: 15 seconds less","Cuenta atrás: 15 segundos menos"
olm,olm_G006a,none,olemots,0,"En rappant","By rapping","Rapeando"
olm,olm_G006b,none,olemimes,0,"Mimer en chantant la marseillaise","Mime while singing La Marseillaise","Hacer mímica cantando La Marsellesa"
olm,olm_G006c,none,olesons,0,"En jouant de l’air guitar","Air guitar performance","Tocando la guitarra imaginaria"
olm,olm_G007a,none,olemots,0,"En imitant un singe entre chaque carte","Imitate a monkey between each card","Imitar a un mono entre cada carta"
olm,olm_G007b,none,olemimes,0,"En imitant un singe entre chaque carte","Imitate a monkey between each card","Imitar a un mono entre cada carta"
olm,olm_G007c,none,olesons,0,"En tournant sur toi-même en permanence","Spin around continuously","Girando sobre ti mismo sin parar"
olm,olm_G008a,none,olemots,0,"En sautillant","Hop while speaking","Saltando a la pata coja"
olm,olm_G008b,none,olemimes,0,"En chantant la marseillaise","Sing La Marseillaise","Cantando La Marsellesa"
olm,olm_G008c,none,olesons,0,"En restant à quatre pattes","Stay on all fours","Permanecer a cuatro patas"
olm,olm_G009a,none,olemots,0,"C’est Noël : en décorant ton sapin imaginaire","It’s Christmas: decorate an imaginary tree","Es Navidad: decorando tu árbol imaginario"
olm,olm_G009b,none,olemimes,0,"Le mime égyptien : en restant de profil","Egyptian mime: stay in profile","Mimo egipcio: quedarse de perfil"
